Date,open,high,low,close,volume,Dividends,Stock Splits,bb_middle,bb_upper,bb_lower,rsi,bb_pct,price_below_lower,price_above_upper,price_reversal_up,price_reversal_down,rsi_oversold,rsi_overbought,rsi_rising,rsi_falling,signal,returns,strategy_returns,cumulative_returns
2023-10-09 00:00:00-04:00,126.22000122070312,128.7899932861328,124.76000213623047,128.25999450683594,38773700,0.0,0.0,132.11150054931642,145.78584198970904,118.4371591089238,34.273241206995365,0.3591703278995389,False,False,False,False,False,False,True,False,0,0.0023444468936362206,0.0,1.0146578916426003
2023-10-10 00:00:00-04:00,128.82000732421875,130.74000549316406,128.0500030517578,129.47999572753906,42178600,0.0,0.0,131.5240005493164,144.54273930298143,118.50526179565138,39.867466275803416,0.4214975866536259,False,False,False,False,False,False,True,False,0,0.009511938819224852,0.0,1.0146578916426003
2023-10-11 00:00:00-04:00,129.74000549316406,132.0500030517578,129.61000061035156,131.8300018310547,40741800,0.0,0.0,130.87300033569335,142.289526594983,119.45647407640371,54.98802314267378,0.5419129897144775,False,False,True,False,False,False,True,False,0,0.01814956889912689,0.0,1.0146578916426003
2023-10-12 00:00:00-04:00,132.1699981689453,134.47999572753906,131.22999572753906,132.3300018310547,55528600,0.0,0.0,130.25350036621094,139.67697504990142,120.83002568252047,56.33136885367766,0.6101770596591943,False,False,False,False,False,False,True,False,0,0.0037927633547389927,0.0,1.0146578916426003
2023-10-13 00:00:00-04:00,132.97999572753906,133.30999755859375,128.9499969482422,129.7899932861328,45786600,0.0,0.0,129.72350006103517,137.84957410092795,121.59742602114238,47.12507810193622,0.5040913499416332,False,False,False,True,False,False,False,True,0,-0.019194502454286222,-0.0,1.0146578916426003
2023-10-16 00:00:00-04:00,130.69000244140625,133.07000732421875,130.42999267578125,132.5500030517578,42832900,0.0,0.0,129.35200042724608,136.05926754543623,122.64473330905594,64.1533634542278,0.7383983348328806,False,False,True,False,False,False,True,False,0,0.021265196921155027,0.0,1.0146578916426003
2023-10-17 00:00:00-04:00,130.38999938964844,132.5800018310547,128.7100067138672,131.47000122070312,49344600,0.0,0.0,129.04400024414062,134.62127726818497,123.46672322009626,61.30092787012017,0.7174897325436509,False,False,False,False,False,False,False,True,0,-0.008147882355257097,-0.0,1.0146578916426003
2023-10-18 00:00:00-04:00,129.89999389648438,130.6699981689453,127.51000213623047,128.1300048828125,42699500,0.0,0.0,128.6860008239746,133.43248488576765,123.93951676218157,53.89069736682605,0.441430758649585,False,False,False,True,False,False,False,True,0,-0.025405007278304192,-0.0,1.0146578916426003
2023-10-19 00:00:00-04:00,130.57000732421875,132.24000549316406,127.47000122070312,128.39999389648438,60961400,0.0,0.0,128.6395004272461,133.37763450223247,123.90136635225976,52.391611206763585,0.47472564864445854,False,False,False,False,False,False,False,True,0,0.002107149015711185,0.0,1.0146578916426003
2023-10-20 00:00:00-04:00,128.0500030517578,128.1699981689453,124.97000122070312,125.16999816894531,56343300,0.0,0.0,128.44200057983397,133.41907519965113,123.46492596001681,42.2423017641141,0.17129261053666273,False,False,False,True,False,False,False,True,0,-0.02515573116103942,-0.0,1.0146578916426003
2023-10-23 00:00:00-04:00,124.62999725341797,127.87999725341797,123.9800033569336,126.55999755859375,48260000,0.0,0.0,128.2065002441406,133.0644543995774,123.34854608870384,53.786000219776774,0.3305353825020989,False,False,True,False,False,False,True,False,0,0.011104892625885654,0.0,1.0146578916426003
2023-10-24 00:00:00-04:00,127.73999786376953,128.8000030517578,126.33999633789062,128.55999755859375,46477400,0.0,0.0,128.33549995422362,133.08021483548274,123.5907850729645,53.247288262105556,0.5236576496152452,False,False,True,False,False,False,False,True,0,0.015802781594350668,0.0,1.0146578916426003
2023-10-25 00:00:00-04:00,126.04000091552734,126.33999633789062,120.79000091552734,121.38999938964844,74577500,0.0,0.0,128.1059997558594,133.69869656787344,122.51330294384532,42.421228087000905,-0.10042592973964133,True,False,False,True,False,False,False,True,0,-0.055771610960691276,-0.0,1.0146578916426003
2023-10-26 00:00:00-04:00,120.62999725341797,121.63999938964844,118.3499984741211,119.56999969482422,100419500,0.0,0.0,127.7854995727539,134.51111052530516,121.05988862020266,36.00267092439644,-0.11076234827508664,True,False,False,True,False,False,False,True,0,-0.01499299533713827,-0.0,1.0146578916426003
2023-10-27 00:00:00-04:00,126.19999694824219,130.02000427246094,125.5199966430664,127.73999786376953,125309300,0.0,0.0,127.81649932861328,134.5349063678283,121.09809228939825,49.31290091365216,0.4943065771099298,False,False,True,False,False,False,True,False,0,0.06832816082460003,0.0,1.0146578916426003
2023-10-30 00:00:00-04:00,129.72000122070312,133.0,128.55999755859375,132.7100067138672,72485500,0.0,0.0,127.97899932861328,135.01451659820412,120.94348205902244,53.88315711191818,0.8362231378282894,False,False,True,False,False,False,True,False,0,0.03890722509168976,0.0,1.0146578916426003
2023-10-31 00:00:00-04:00,132.75,133.57000732421875,131.7100067138672,133.08999633789062,51589400,0.0,0.0,128.39749908447266,135.61029869115535,121.18469947778996,51.590099270720685,0.8252895899859984,False,False,False,False,False,False,False,True,0,0.002863308000901066,0.0,1.0146578916426003
2023-11-01 00:00:00-04:00,133.9600067138672,137.35000610351562,133.7100067138672,137.0,61529400,0.0,0.0,128.89749908447266,137.03016602064423,120.7648321483011,55.42644469140933,0.9981453795611583,False,False,True,False,False,False,True,False,0,0.02937864429857373,0.0,1.0146578916426003
2023-11-02 00:00:00-04:00,138.72999572753906,138.80999755859375,136.47000122070312,138.07000732421875,52236700,0.0,0.0,129.50299949645995,138.4747642794912,120.53123471342867,59.96151891781548,0.9774427347873633,False,False,False,False,False,False,True,False,0,0.007810272439553012,0.0,1.0146578916426003
2023-11-03 00:00:00-04:00,138.99000549316406,139.49000549316406,137.4499969482422,138.60000610351562,44007200,0.0,0.0,130.0349998474121,139.8442743766131,120.22572531821112,57.69133627930616,0.9365769471843487,False,False,False,False,False,False,False,True,0,0.0038386235328597973,0.0,1.0146578916426003
2023-11-06 00:00:00-05:00,138.75999450683594,140.72999572753906,138.36000061035156,139.74000549316406,44970400,0.0,0.0,130.6090003967285,141.28608678484358,119.93191400861345,60.4975978728333,0.9275981651042696,False,False,False,False,False,False,True,False,0,0.008225103459209127,0.0,1.0146578916426003
2023-11-07 00:00:00-05:00,140.5500030517578,143.3699951171875,140.5,142.7100067138672,53553500,0.0,0.0,131.27050094604493,143.21695047868855,119.32405141340132,68.68273441331074,0.978782659926025,False,False,True,False,False,False,True,False,0,0.02125376487729147,0.0,1.0146578916426003
2023-11-08 00:00:00-05:00,142.97000122070312,143.1199951171875,141.22000122070312,142.0800018310547,44521700,0.0,0.0,131.78300094604492,144.6727195025551,118.89328238953473,67.36923087653169,0.8994269091239807,False,False,False,False,False,False,False,True,0,-0.004414580990635519,-0.0,1.0146578916426003
2023-11-09 00:00:00-05:00,142.02000427246094,142.64999389648438,139.83999633789062,140.60000610351562,36235400,0.0,0.0,132.19650115966797,145.67715968379093,118.71584263554502,70.50226671857007,0.8116874790949568,False,False,False,True,False,True,True,False,0,-0.010416636461610618,-0.0,1.0146578916426003
2023-11-10 00:00:00-05:00,140.4600067138672,143.64999389648438,139.91000366210938,143.55999755859375,49287800,0.0,0.0,132.885001373291,147.2271795242361,118.54282322234589,71.68367515748278,0.8721539389956364,False,False,True,False,False,True,True,False,0,0.021052569890351647,0.0,1.0146578916426003
2023-11-13 00:00:00-05:00,142.0800018310547,143.22999572753906,140.6699981689453,142.58999633789062,35680600,0.0,0.0,133.38700103759766,148.36839639223717,118.40560568295814,68.37830685398293,0.8071474679907882,False,False,False,False,False,False,False,True,0,-0.006756765374750118,-0.0,1.0146578916426003
2023-11-14 00:00:00-05:00,145.0,147.25999450683594,144.67999267578125,145.8000030517578,56674600,0.0,0.0,134.1035011291504,150.0391662945237,118.1678359637771,85.6767010691855,0.8669913304912682,False,False,True,False,False,True,True,False,0,0.02251214528584833,0.0,1.0146578916426003
2023-11-15 00:00:00-05:00,147.05999755859375,147.2899932861328,142.58999633789062,143.1999969482422,63875700,0.0,0.0,134.85700073242188,151.02681738983296,118.68718407501079,83.76677392296168,0.7579805446339579,False,False,False,True,False,True,False,True,0,-0.017832688951265996,-0.0,1.0146578916426003
2023-11-16 00:00:00-05:00,140.91000366210938,143.32000732421875,139.52000427246094,142.8300018310547,49653500,0.0,0.0,135.5785011291504,151.82277891535296,119.33422334294784,77.7491695074623,0.7232016959246879,False,False,False,False,False,True,False,True,0,-0.0025837648398919777,-0.0,1.0146578916426003
2023-11-17 00:00:00-05:00,142.66000366210938,145.22999572753906,142.5399932861328,145.17999267578125,49636700,0.0,0.0,136.5790008544922,152.5871920197214,120.57080968926296,75.37645500394667,0.7686434629782204,False,False,True,False,False,True,False,True,0,0.016453061783939793,0.0,1.0146578916426003
2023-11-20 00:00:00-05:00,145.1300048828125,146.6300048828125,144.72999572753906,146.1300048828125,41951200,0.0,0.0,137.55750122070313,153.37845579559826,121.736546645808,75.93476719738574,0.7709224535576481,False,False,False,False,False,True,True,False,0,0.0065436854591447435,0.0,1.0146578916426003
2023-11-21 00:00:00-05:00,143.91000366210938,144.0500030517578,141.5,143.89999389648438,71226000,0.0,0.0,138.32450103759766,153.79225176170334,122.85675031349196,64.70585557107884,0.6802295937636753,False,False,False,True,False,False,False,True,0,-0.015260459261028925,-0.0,1.0146578916426003
2023-11-22 00:00:00-05:00,144.57000732421875,147.74000549316406,144.57000732421875,146.7100067138672,45669100,0.0,0.0,139.5905014038086,153.26281653550538,125.9181862721118,67.14283724763231,0.7603620982065178,False,False,True,False,False,False,True,False,0,0.019527539517508297,0.0,1.0146578916426003
2023-11-24 00:00:00-05:00,146.6999969482422,147.1999969482422,145.32000732421875,146.74000549316406,22378400,0.0,0.0,140.9490016937256,151.22224147715465,130.67576191029653,66.47771323516238,0.7818489552234279,False,False,False,False,False,False,False,True,0,0.0002044767086364363,0.0,1.0146578916426003
2023-11-27 00:00:00-05:00,147.52999877929688,149.25999450683594,146.8800048828125,147.72999572753906,53762400,0.0,0.0,141.94850158691406,150.56716568542825,133.32983748839987,66.2728803972876,0.8354054685587352,False,False,False,False,False,False,False,True,0,0.006746559883569869,0.0,1.0146578916426003
2023-11-28 00:00:00-05:00,146.97999572753906,147.60000610351562,145.52999877929688,147.02999877929688,42711700,0.0,0.0,142.66450119018555,150.3839943432162,134.9450080371549,59.694769621879495,0.7827580452867849,False,False,False,False,False,False,False,True,0,-0.00473835354015173,-0.0,1.0146578916426003
2023-11-29 00:00:00-05:00,147.85000610351562,148.5399932861328,145.97000122070312,146.32000732421875,40610900,0.0,0.0,143.32600173950195,149.7495628351122,136.9024406438917,59.48122848261719,0.7330487357521095,False,False,False,False,False,False,False,True,0,-0.0048288883967405605,-0.0,1.0146578916426003
2023-11-30 00:00:00-05:00,144.75999450683594,146.92999267578125,144.3300018310547,146.08999633789062,65814000,0.0,0.0,143.78050155639647,149.57496566437374,137.9860374484192,63.00328305863678,0.6992845877080041,False,False,False,False,False,False,True,False,0,-0.001571972217158657,-0.0,1.0146578916426003
2023-12-01 00:00:00-05:00,146.0,147.25,145.5500030517578,147.02999877929688,39924600,0.0,0.0,144.2285011291504,149.5283627639018,138.928639494399,59.088518436811604,0.764299131110984,False,False,False,False,False,False,False,True,0,0.006434406632690459,0.0,1.0146578916426003
