/Users/gangtao.zhou/py_project/qute/mose/monitor/stock_manager.py:42: UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
  self.monitored_stocks = pd.read_sql_query(query, conn)
2025-04-21 20:03:42,478 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:04:23,639 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:05:23,645 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:06:23,654 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:07:23,663 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:08:23,673 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:08:43,094 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:09:23,680 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:10:23,688 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:11:23,694 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:12:23,699 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:13:23,701 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:13:44,051 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:14:23,704 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:15:23,710 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:16:23,715 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:17:23,718 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:18:23,724 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:18:44,970 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:19:23,726 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:20:23,732 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:21:23,739 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:22:23,743 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:23:23,746 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:23:45,848 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:24:23,749 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:25:23,751 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:26:23,753 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:27:23,757 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:28:23,761 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:28:46,739 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:29:23,762 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:30:23,767 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:31:23,771 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:32:23,773 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:33:23,778 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:33:47,458 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:34:23,780 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:35:23,783 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:36:23,820 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:37:24,026 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:38:24,031 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:38:48,426 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:39:24,036 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:40:24,047 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:41:24,052 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:42:24,059 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:43:24,064 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:43:49,238 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:44:24,067 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:45:24,072 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:46:24,074 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:47:24,078 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:48:24,083 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:48:50,021 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 20:49:24,088 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:50:24,094 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 20:51:24,102 - monitor.stock_monitor - INFO - 警报已清除
